,date,number,time,latitude,longitude,depth,magnitude,type,place
415,1942-02-05,1184,01:15:59,38.84,27.74,10.0,5.4,MS,Manisa
189,1983-10-21,5324,20:34:49,40.108000000000004,29.401999999999997,4.7,5.4,Mw,Bursa
186,1983-11-18,5365,01:15:36,39.753,39.468,17.9,5.4,Mw,Erzincan
413,1942-10-28,1196,00:31:52,39.27,28.19,10.0,5.4,MS,Balikesir
164,1990-04-20,6627,23:30:08,39.996,40.047,39.9,5.4,Mw,Erzincan
410,1942-12-02,1201,19:04:27,41.04,34.88,20.0,5.4,MS,Corum
166,1989-05-20,6441,20:44:04,39.616,40.185,39.3,5.4,Mw,Erzincan
182,1984-10-18,5586,09:46:24,40.71,42.448,35.0,5.4,Mw,Erzurum
367,1952-03-19,1414,01:27:28,39.6,28.64,40.0,5.4,MS,Balikesir
100,2003-07-26,9761,08:36:52,38.051,28.901999999999997,22.3,5.4,Mw,Denizli
447,1936-11-18,1059,15:50:14,41.25,33.33,10.0,5.4,MS,Kastamonu
37,2011-11-30,12282,00:47:21,38.47,43.2905,19.79,5.4,Mw,Van
105,2003-05-03,9680,11:22:41,36.897,31.516,128.7,5.4,Mw,Antalya
77,2005-12-10,10389,00:09:51,39.361999999999995,40.926,15.9,5.4,Mw,Bingol
289,1967-07-30,2375,01:31:02,40.696999999999996,30.549,14.7,5.4,mb,Sakarya
112,2001-07-10,9170,21:42:10,39.818000000000005,41.629,35.0,5.4,Mw,Erzurum
113,2001-06-25,9154,13:28:49,37.181999999999995,36.213,13.6,5.4,Mw,Osmaniye
116,2000-04-21,8878,12:23:11,37.856,29.355999999999998,29.2,5.4,Mw,Denizli
90,2005-01-10,10073,23:48:53,36.867,27.888,32.1,5.4,Mw,Mugla
445,1937-05-23,1064,10:57:30,38.69,27.78,10.0,5.4,MS,Manisa
298,1966-08-20,2226,12:01:43,39.165,40.762,18.7,5.4,mb,Bingol
332,1959-07-26,1737,17:07:06,40.91,27.54,10.0,5.4,MS,Tekirdag
52,2011-06-23,12016,07:34:43,38.5562,39.6307,13.42,5.4,Mw,Elazig
489,1925-09-01,704,08:16:30,37.56,29.17,130.0,5.4,MS,Denizli
494,1924-12-22,669,17:49:42,39.6,27.7,15.0,5.4,MS,Balikesir
129,1999-04-06,8413,00:08:25,39.368,38.231,15.7,5.4,Mw,Sivas
130,1998-07-04,8218,02:15:49,36.846,35.238,37.3,5.4,Mw,Adana
345,1957-05-26,1641,08:54:51,40.6,30.74,40.0,5.4,MS,Sakarya
318,1963-04-22,1864,15:38:23,41.37,38.75,60.0,5.4,MS,Balikesir
196,1980-08-02,4584,00:52:00,38.93,27.42,10.0,5.3,mb,Izmir
202,1979-08-22,4445,20:12:48,35.909,27.416,81.4,5.3,Mw,Balikesir
400,1944-02-10,1228,12:05:27,41.0,32.3,10.0,5.3,MS,Bolu
204,1979-06-16,4419,18:42:01,38.694,26.684,15.7,5.3,Mw,Izmir
203,1979-07-18,4433,13:12:03,39.649,28.697,4.4,5.3,Mw,Balikesir
329,1959-11-19,1746,14:01:32,38.89,26.65,10.0,5.3,MS,Izmir
253,1970-04-23,3047,09:01:29,39.124,28.671,35.0,5.3,MS,Kutahya
194,1980-10-18,4603,03:14:10,39.91,40.31,37.0,5.3,MS,Erzincan
40,2011-11-08,12241,22:05:50,38.7192,43.0778,8.36,5.3,Mw,Van
47,2011-10-23,12097,11:00:29,38.7335,43.1312,7.48,5.3,Ml,Van
