,date,latitude,longitude,depth,magnitude,type,place,year
154,1997-01-22,36.207,35.957,20.9,5.7,Mw,Hatay,1997
155,1996-08-14,40.345,35.202,16.4,5.1,mb,Corum,1996
156,1996-08-14,40.698,35.29,25.7,5.7,Mw,Corum,1996
157,1996-08-14,40.76,35.328,16.4,5.6,Mw,Amasya,1996
158,1995-12-05,39.474,40.152,73.8,5.2,mb,Tunceli,1995
159,1995-01-29,39.762,40.648,49.6,5.2,Mw,Erzurum,1995
160,1995-10-01,38.084,30.163,36.6,5.0,mb,Balikesir,1995
161,1995-10-01,38.075,30.142,30.9,6.4,Mw,Erzurum,1995
162,1995-12-05,39.475,40.146,13.9,5.8,Mw,Tunceli,1995
163,1994-01-28,38.682,27.529,16.5,5.4,Mw,Manisa,1994
164,1994-11-13,36.955,29.053,20.0,5.3,Mw,Mugla,1994
165,1994-09-17,37.843,41.576,35.0,5.0,mb,Batman,1994
166,1994-05-24,38.737,26.478,9.1,5.0,mb,Izmir,1994
167,1994-05-24,38.734,26.553,17.5,5.5,Mw,Izmir,1994
168,1994-01-03,36.993,35.83,42.5,5.0,mb,Adana,1994
169,1994-05-24,38.739,26.575,17.3,5.2,mb,Izmir,1994
170,1993-08-26,36.724,28.062,37.0,5.2,mb,Mugla,1993
171,1992-05-07,38.717,40.127,17.4,5.1,Mw,Elazig,1992
172,1992-11-06,38.048,27.004,9.8,6.0,Mw,Izmir,1992
173,1992-03-13,39.72,39.632,22.2,6.6,Mw,Erzincan,1992
174,1992-03-15,39.519,39.962,7.0,5.9,Mw,Tunceli,1992
175,1991-03-11,37.032,30.966,112.1,5.1,Mw,Antalya,1991
176,1991-01-15,37.1211,29.4809,1.0,5.3,mb,Burdur,1991
177,1991-12-05,36.162,31.792,106.7,5.2,Mw,Balikesir,1991
178,1991-04-10,37.299,36.116,42.3,5.3,Mw,Osmaniye,1991
179,1991-10-06,41.083,43.432,15.0,5.1,Mw,Ardahan,1991
180,1991-06-03,40.077,42.842,35.0,5.1,Mw,Kars,1991
181,1990-04-20,39.996,40.047,39.9,5.4,Mw,Erzincan,1990
182,1990-11-21,37.0267,29.6006,19.0,5.0,mb,Burdur,1990
